sentence	Noun phrases	Verb phrases	n(NP)	n(VP)
через які країни протікає Хуанхе	які країни, Хуанхе	протікає	2	1
яка довжина Конго	яка довжина, Конго		2	0
у якому регіоні тече Дніпро	якому регіоні тече, Дніпро		2	0
як називається регіон, по якому протікає Хуанхе	регіон, Хуанхе	називається, протікає	2	2
який середнорічний стік Хуанхе	який середнорічний стік, Хуанхе		2	0
який обсяг середньорічного стоку Рейну	який обсяг, середньорічного стоку, Рейну		3	0
які притоки має Хуанхе	які притоки, Хуанхе	має	2	1
які водойми є в руслі Хуанхе	які водойми, руслі Хуанхе	є	2	1
в якій країні розміщена Говерла	якій країні, розміщена Говерла		2	0
в якому регіоні знаходиться Говерла	якому регіоні, Говерла	знаходиться	2	1
де розташований Еверест	розташований Еверест		1	0
в якій системі розташована Говерла	якій системі, розташована Говерла		2	0
частиною якої системи є Еверест	частиною, якої системи, Еверест	є	3	1
до якої системи належить Кіліманджаро	якої системи, Кіліманджаро	належить	2	1
до якого типу належить Монблан	якого типу, Монблан	належить	2	1
який тип Монблан	який тип, Монблан		2	0
що таке Говерла	таке Говерла		1	0
з якого матеріалу складається Еверест	якого матеріалу, Еверест	складається	2	1
з чого складається Монблан	Монблан	складається	1	1
яка висота Говерли	яка висота, Говерли		2	0
яка відносна висота Монблану	яка відносна висота, Монблану		2	0
наскільки висока Кіліманджаро	висока Кіліманджаро		1	0
коли відбулось перше сходження на Еверест	перше сходження, Еверест	коли відбулось	2	1
у якому році було перше сходження на Кіліманджаро	якому році, перше сходження, Кіліманджаро	було	3	1
у якому році людина вперше побувала на вершині Говерли	якому році людина, вершині Говерли	вперше побувала	2	1
де розташований Балатон	розташований Балатон		1	0
які координати Байкалу	які координати, Байкалу		2	0
в якій країні розташована Тітікака	якій країні, розташована Тітікака		2	0
що таке Тітікака	таке Тітікака		1	0
до якого типу належить Тітікака	якого типу, Тітікака	належить	2	1
яким озером є Тітікака	яким озером, Тітікака	є	2	1
які прибережні країни Тітікаки	які прибережні країни, Тітікаки		2	0
які розміри Тітікаки	які розміри, Тітікаки		2	0
яка висота над рівнем моря Гурону	яка висота, рівнем моря Гурону		2	0
наскільки високо над рівнем моря розміщений Байкал	рівнем моря розміщений Байкал		1	0
яка площа поверхні Балатона	яка площа поверхні, Балатона		2	0
яку площу займає Ківу	яку площу, Ківу	займає	2	1
яку територію займає Тітікака	яку територію, Тітікака	займає	2	1
наскільки глибоке Балатон	глибоке Балатон		1	0
яка максимальна глибина Тітікаки	яка максимальна глибина, Тітікаки		2	0
яка ширина Байкалу	яка ширина, Байкалу		2	0
наскільки широке Байкал	широке Байкал		1	0
який об'єм Балатона	який об'єм, Балатона		2	0
який об'єм займає Балатон	який об'єм, Балатон	займає	2	1
які річки витікають з Гурону	які річки, Гурону	витікають	2	1
які міста розташовані на берегах Балатона	які міста, берегах Балатона		2	0
які міста знаходяться поряд з Ківу	які міста, Ківу	знаходяться	2	1
